港台澳,#genre#
星空卫视,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
星空卫视,http://wouu.net:9977/udp/239.93.0.156:2193
星空卫视,http://iptv.diyp.site/公众号【DIYP】关注一下啊.php?key=gat1&id=19



有线综合台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hoytv


凤凰中文,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_fhzw.flv#http://tv1.91tv.top:9089/tsfile/live/1009_1.m3u8?key=txiptv


凤凰资讯,http://162.62.120.19/qctv.fengshows.cn/live/0701pin72.flv

香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港卫视,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=8ee59707fee3ef96c922e680-167055218938751&wsIPSercert=d24f6d7c9d3646d9533d492d5209384b&wsMonitor=0$LR•IPV4『线路5』
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0$LR•IPV4『线路11』

香港卫视,http://stream.qhbtv.com/adws/sd/live.m3u8


TVB星河,http://113.64.146.6:2024/hls/12/index.m3u8

重温经典,http://ali.hlspull.yximgs.com:80/live/awei_cwjd.flv

重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
重温经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd



TVB无线华丽,http://php.jdshipin.com:8880/TVOD/iptv.php?id=huali


TVB无线新闻,http://61.10.2.141:80/live_freedirect/freehd209_h.live/chunklist.m3u8



香港面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8


